Country,Job Title,Age,Quantity,Percentage
United Kingdom,No Full-Time Job,43,27.0,0.64%
Germany,No Full-Time Job,19,27.0,0.64%
Germany,No Full-Time Job,17,26.0,0.62%
Germany,No Full-Time Job,18,26.0,0.62%
France,No Full-Time Job,40,25.0,0.6%
Germany,No Full-Time Job,16,25.0,0.6%
Spain,No Full-Time Job,41,25.0,0.6%
France,No Full-Time Job,20,25.0,0.6%
United Kingdom,No Full-Time Job,15,24.0,0.57%
Germany,No Full-Time Job,15,23.0,0.55%
France,No Full-Time Job,18,22.0,0.53%
Germany,No Full-Time Job,25,22.0,0.53%
Spain,No Full-Time Job,19,22.0,0.53%
Germany,No Full-Time Job,20,22.0,0.53%
Italy,No Full-Time Job,25,21.0,0.5%
Germany,No Full-Time Job,40,20.0,0.48%
Italy,No Full-Time Job,41,20.0,0.48%
Italy,No Full-Time Job,31,20.0,0.48%
France,No Full-Time Job,19,19.0,0.45%
United Kingdom,No Full-Time Job,16,19.0,0.45%
United Kingdom,No Full-Time Job,19,19.0,0.45%
United Kingdom,No Full-Time Job,40,18.0,0.43%
United Kingdom,No Full-Time Job,41,18.0,0.43%
United Kingdom,No Full-Time Job,18,18.0,0.43%
Poland,No Full-Time Job,19,18.0,0.43%
Italy,No Full-Time Job,22,18.0,0.43%
Poland,No Full-Time Job,18,18.0,0.43%
Spain,No Full-Time Job,40,18.0,0.43%
United Kingdom,No Full-Time Job,17,17.0,0.41%
Spain,No Full-Time Job,44,17.0,0.41%
Italy,No Full-Time Job,29,17.0,0.41%
France,No Full-Time Job,25,17.0,0.41%
France,No Full-Time Job,45,16.0,0.38%
France,No Full-Time Job,43,16.0,0.38%
United Kingdom,No Full-Time Job,53,16.0,0.38%
Spain,No Full-Time Job,43,16.0,0.38%
United Kingdom,No Full-Time Job,49,16.0,0.38%
France,No Full-Time Job,21,15.0,0.36%
Spain,No Full-Time Job,18,15.0,0.36%
Germany,No Full-Time Job,26,15.0,0.36%
France,No Full-Time Job,41,15.0,0.36%
Germany,No Full-Time Job,31,15.0,0.36%
Germany,No Full-Time Job,41,15.0,0.36%
Germany,No Full-Time Job,45,15.0,0.36%
Germany,No Full-Time Job,33,15.0,0.36%
Italy,No Full-Time Job,16,14.0,0.33%
Germany,No Full-Time Job,27,14.0,0.33%
United Kingdom,No Full-Time Job,14,14.0,0.33%
Italy,No Full-Time Job,18,14.0,0.33%
Spain,No Full-Time Job,46,14.0,0.33%
France,No Full-Time Job,29,14.0,0.33%
Germany,No Full-Time Job,35,14.0,0.33%
Spain,No Full-Time Job,25,14.0,0.33%
Germany,No Full-Time Job,43,14.0,0.33%
Germany,No Full-Time Job,44,14.0,0.33%
Germany,No Full-Time Job,46,14.0,0.33%
Italy,No Full-Time Job,35,13.0,0.31%
United Kingdom,No Full-Time Job,46,13.0,0.31%
Poland,No Full-Time Job,22,13.0,0.31%
Poland,No Full-Time Job,20,13.0,0.31%
Italy,No Full-Time Job,15,13.0,0.31%
United Kingdom,No Full-Time Job,25,13.0,0.31%
France,No Full-Time Job,55,13.0,0.31%
Germany,No Full-Time Job,28,13.0,0.31%
United Kingdom,No Full-Time Job,48,13.0,0.31%
Germany,No Full-Time Job,49,13.0,0.31%
France,No Full-Time Job,28,13.0,0.31%
France,No Full-Time Job,23,13.0,0.31%
Germany,No Full-Time Job,54,13.0,0.31%
Italy,No Full-Time Job,28,13.0,0.31%
Spain,No Full-Time Job,27,13.0,0.31%
Italy,No Full-Time Job,53,13.0,0.31%
United Kingdom,No Full-Time Job,47,13.0,0.31%
France,No Full-Time Job,32,12.0,0.29%
Spain,No Full-Time Job,23,12.0,0.29%
France,No Full-Time Job,17,12.0,0.29%
United Kingdom,No Full-Time Job,21,12.0,0.29%
France,No Full-Time Job,16,12.0,0.29%
Spain,No Full-Time Job,22,12.0,0.29%
Spain,No Full-Time Job,20,12.0,0.29%
France,No Full-Time Job,36,12.0,0.29%
Spain,No Full-Time Job,35,12.0,0.29%
France,No Full-Time Job,22,12.0,0.29%
Spain,No Full-Time Job,49,12.0,0.29%
Spain,No Full-Time Job,50,12.0,0.29%
United Kingdom,No Full-Time Job,31,12.0,0.29%
Germany,No Full-Time Job,47,12.0,0.29%
Germany,No Full-Time Job,34,12.0,0.29%
Poland,No Full-Time Job,52,12.0,0.29%
Germany,No Full-Time Job,30,12.0,0.29%
United Kingdom,No Full-Time Job,55,12.0,0.29%
United Kingdom,No Full-Time Job,60,12.0,0.29%
Germany,No Full-Time Job,23,12.0,0.29%
Germany,No Full-Time Job,51,12.0,0.29%
United Kingdom,No Full-Time Job,27,12.0,0.29%
Poland,No Full-Time Job,30,12.0,0.29%
France,No Full-Time Job,50,12.0,0.29%
United Kingdom,No Full-Time Job,56,11.0,0.26%
Spain,No Full-Time Job,21,11.0,0.26%
Italy,No Full-Time Job,42,11.0,0.26%
Italy,No Full-Time Job,20,11.0,0.26%
France,No Full-Time Job,15,11.0,0.26%
Italy,No Full-Time Job,43,11.0,0.26%
Spain,No Full-Time Job,29,11.0,0.26%
Spain,No Full-Time Job,24,11.0,0.26%
Italy,No Full-Time Job,14,11.0,0.26%
United Kingdom,No Full-Time Job,42,11.0,0.26%
Romania,No Full-Time Job,18,11.0,0.26%
Germany,No Full-Time Job,21,11.0,0.26%
France,No Full-Time Job,27,11.0,0.26%
Poland,No Full-Time Job,65,11.0,0.26%
France,No Full-Time Job,26,11.0,0.26%
United Kingdom,No Full-Time Job,37,11.0,0.26%
Netherlands,No Full-Time Job,45,11.0,0.26%
United Kingdom,No Full-Time Job,33,11.0,0.26%
Germany,No Full-Time Job,29,11.0,0.26%
France,No Full-Time Job,59,11.0,0.26%
United Kingdom,No Full-Time Job,28,11.0,0.26%
Netherlands,No Full-Time Job,47,11.0,0.26%
United Kingdom,No Full-Time Job,26,11.0,0.26%
France,No Full-Time Job,46,11.0,0.26%
Spain,No Full-Time Job,39,10.0,0.24%
Spain,No Full-Time Job,26,10.0,0.24%
Italy,No Full-Time Job,48,10.0,0.24%
France,No Full-Time Job,48,10.0,0.24%
Italy,No Full-Time Job,45,10.0,0.24%
Italy,No Full-Time Job,19,10.0,0.24%
Germany,No Full-Time Job,61,10.0,0.24%
France,No Full-Time Job,47,10.0,0.24%
Germany,No Full-Time Job,42,10.0,0.24%
Germany,No Full-Time Job,32,10.0,0.24%
France,No Full-Time Job,37,10.0,0.24%
France,No Full-Time Job,44,10.0,0.24%
France,No Full-Time Job,52,10.0,0.24%
Germany,No Full-Time Job,52,10.0,0.24%
Poland,No Full-Time Job,23,10.0,0.24%
United Kingdom,No Full-Time Job,62,10.0,0.24%
Italy,No Full-Time Job,46,9.0,0.21%
France,No Full-Time Job,35,9.0,0.21%
Germany,No Full-Time Job,22,9.0,0.21%
France,No Full-Time Job,57,9.0,0.21%
France,No Full-Time Job,30,9.0,0.21%
United Kingdom,No Full-Time Job,51,9.0,0.21%
Italy,No Full-Time Job,52,9.0,0.21%
Italy,No Full-Time Job,33,9.0,0.21%
Spain,No Full-Time Job,42,9.0,0.21%
United Kingdom,No Full-Time Job,44,9.0,0.21%
Poland,No Full-Time Job,25,9.0,0.21%
United Kingdom,No Full-Time Job,20,9.0,0.21%
United Kingdom,No Full-Time Job,30,9.0,0.21%
Italy,No Full-Time Job,40,9.0,0.21%
Poland,No Full-Time Job,53,9.0,0.21%
Spain,No Full-Time Job,51,9.0,0.21%
Germany,No Full-Time Job,14,9.0,0.21%
France,No Full-Time Job,49,9.0,0.21%
United Kingdom,No Full-Time Job,63,9.0,0.21%
Italy,No Full-Time Job,17,8.0,0.19%
Spain,No Full-Time Job,47,8.0,0.19%
Spain,No Full-Time Job,48,8.0,0.19%
United Kingdom,No Full-Time Job,29,8.0,0.19%
United Kingdom,No Full-Time Job,35,8.0,0.19%
Poland,No Full-Time Job,54,8.0,0.19%
Italy,No Full-Time Job,50,8.0,0.19%
France,No Full-Time Job,58,8.0,0.19%
Italy,No Full-Time Job,24,8.0,0.19%
Poland,No Full-Time Job,32,8.0,0.19%
Poland,No Full-Time Job,61,8.0,0.19%
United Kingdom,No Full-Time Job,58,8.0,0.19%
Germany,No Full-Time Job,37,8.0,0.19%
Germany,No Full-Time Job,48,8.0,0.19%
Germany,No Full-Time Job,39,8.0,0.19%
Italy,No Full-Time Job,39,8.0,0.19%
Poland,No Full-Time Job,35,8.0,0.19%
Spain,No Full-Time Job,28,8.0,0.19%
Italy,No Full-Time Job,30,8.0,0.19%
Poland,No Full-Time Job,63,8.0,0.19%
